City,count
Seattle,30045
Bellevue,9116
Redmond,6568
Vancouver,6329
Bothell,5961
Kirkland,5465
Sammamish,5350
Renton,5104
Olympia,4397
Tacoma,3792
Tukwila,3014
Bellingham,2980
Kent,2865
Issaquah,2822
Lynnwood,2789
Spokane,2784
Everett,2549
Woodinville,2421
"Mercer Island",2363
Snohomish,2133
Shoreline,1989
"Gig Harbor",1977
Edmonds,1932
Auburn,1930
"Bainbridge Island",1788
Camas,1637
"Maple Valley",1500
"Federal Way",1453
"Lake Stevens",1391
Seatac,1377
Puyallup,1348
Bremerton,1336
Marysville,1242
"Port Orchard",1090
Kenmore,1041
"Bonney Lake",1021
Ridgefield,964
Lacey,960
Richland,931
Newcastle,915
Burien,899
Kennewick,899
Snoqualmie,891
Monroe,796
Mukilteo,778
Lakewood,773
"North Bend",762
"Spokane Valley",713
Poulsbo,705
"Mill Creek",701
Anacortes,701
"Lake Forest Park",698
"University Place",698
Yakima,687
Tumwater,671
"Mount Vernon",659
Vashon,630
Sequim,629
"Port Townsend",623
Duvall,621
Washougal,596
"Battle Ground",590
"South Hill",563
Covington,558
Arlington,555
Pasco,555
"Des Moines",515
"Oak Harbor",482
"Camano Island",463
"Mountlake Terrace",456
"Friday Harbor",438
"Port Angeles",437
Stanwood,432
Wenatchee,430
Shelton,411
Blaine,407
Spanaway,393
"Black Diamond",375
Carnation,369
Longview,359
Silverdale,358
Enumclaw,354
Ferndale,354
"Walla Walla",348
Graham,337
"Clyde Hill",336
Medina,333
"Lake Tapps",329
"Moses Lake",310
Centralia,303
Ellensburg,293
"Brush Prairie",286
Yelm,284
Edgewood,284
Eastsound,283
"East Wenatchee",278
Kingston,273
Langley,265
"Normandy Park",265
Leavenworth,264
Pullman,262
Buckley,239
Brier,238
Coupeville,229
Lynden,229
"Fall City",228
Sumner,227
"West Richland",226
Clinton,223
"Liberty Lake",217
"Cle Elum",216
Chehalis,208
"La Center",207
"Fox Island",203
Sedro-Woolley,198
Dupont,198
Woodland,187
Freeland,183
Sultan,180
Kelso,179
Orting,172
Steilacoom,164
Aberdeen,164
Cheney,164
Chelan,164
Burlington,160
"Port Ludlow",156
Fife,155
"White Salmon",152
"Granite Falls",151
Belfair,151
"Yarrow Point",150
Greenacres,139
Roy,138
Fircrest,137
"Ocean Shores",134
"Lopez Island",133
Eatonville,131
Rochester,130
Kalama,120
"Nine Mile Falls",117
Colbert,110
Bow,106
Lakebay,105
Milton,104
Ravensdale,101
"La Conner",99
Quincy,99
Olalla,98
Winthrop,96
Tenino,93
Selah,93
"Joint Base Lewis Mcchord",91
Seabeck,90
Woodway,89
Parkland,89
Everson,88
Montesano,84
Allyn,79
"Castle Rock",77
Manson,77
Greenbank,76
Hansville,75
Pacific,74
Elma,72
Cashmere,72
Suquamish,70
Mead,70
"Deer Park",67
"Medical Lake",66
Ephrata,66
Sunnyside,62
Clarkston,62
Indianola,61
Prosser,61
Hoquiam,60
"Benton City",60
Grapeview,59
Colville,58
Orondo,58
Winlock,58
Veradale,58
"Point Roberts",57
Rainier,56
"College Place",56
"Gold Bar",55
"Hunts Point",54
Stevenson,54
Yacolt,53
"Sedro Woolley",53
"Beaux Arts",52
