County,count
King,94460
Snohomish,21439
Pierce,14043
Clark,10667
Thurston,6600
Kitsap,5956
Spokane,4671
Whatcom,4331
Benton,2183
Skagit,1968
Island,1921
Clallam,1079
Chelan,1078
Yakima,1034
Jefferson,994
"San Juan",947
Cowlitz,935
Mason,840
Lewis,767
"Grays Harbor",648
Kittitas,643
Franklin,585
Grant,585
"Walla Walla",439
Douglas,369
Whitman,341
Klickitat,294
Okanogan,272
Stevens,223
Pacific,209
Skamania,196
Asotin,74
Wahkiakum,61
"Pend Oreille",56
Lincoln,52
Adams,51
Ferry,30
Columbia,16
Garfield,3
