Postal_Code,count
98052,4637
98012,3392
98033,3135
98188,3012
98006,2908
98004,2885
98115,2758
98074,2564
98072,2508
98034,2384
98040,2363
98103,2210
98075,2149
98021,2055
98501,2033
98059,2002
98029,1923
98117,1790
98110,1788
98053,1766
98027,1668
98607,1637
98112,1515
98118,1511
98008,1509
98105,1501
98109,1468
98038,1467
98125,1431
98133,1392
98258,1391
98391,1351
98005,1326
98155,1322
98122,1319
98058,1263
98199,1260
98042,1256
98144,1249
98056,1204
98026,1190
98036,1173
98011,1168
98116,1158
98296,1157
98177,1153
98208,1152
98107,1075
98087,1073
98682,1071
98028,1043
98229,1036
98225,1034
98148,1006
98335,997
98092,986
98290,976
98007,973
98031,973
98642,964
98119,936
98057,929
98502,914
98226,910
98270,874
98065,861
98023,849
98121,836
98126,827
98020,827
98102,810
98685,806
98272,796
98104,796
98037,787
98275,778
98136,775
98106,767
98045,765
98001,764
98332,736
98683,735
98516,723
98374,713
98370,712
98221,701
98108,688
98168,661
98101,641
99352,639
98146,635
98070,630
98382,629
98032,625
98312,623
98368,623
98166,622
98513,617
98019,617
98661,617
98407,617
98055,614
98178,606
98503,602
98367,601
98512,596
98671,596
98030,595
98604,590
98686,586
98422,582
98203,578
98003,558
99301,558
98223,555
98198,555
98662,549
98466,548
98684,545
99208,535
98506,503
98134,489
98366,486
98277,482
98665,469
98282,463
98043,456
98250,439
99223,437
98292,432
98801,430
98371,423
98406,423
98204,412
98584,411
98230,407
98201,404
99203,398
98664,394
98387,393
99338,387
98372,384
98010,383
98498,377
98014,374
98271,372
98375,371
98311,361
98632,359
98022,355
98273,354
98248,354
99362,349
99224,349
98338,337
98383,333
98039,333
98467,321
98908,314
98660,310
98837,310
98274,305
98531,304
98373,304
99212,294
98926,293
98405,290
98245,290
99354,289
98409,288
98606,286
98362,286
98597,284
98499,281
98002,278
98802,278
98404,278
98346,271
98260,264
98826,263
98024,263
99163,262
99336,260
99337,256
98445,255
98310,252
99016,252
98284,251
98329,249
98663,247
99206,241
98321,239
98239,229
98264,229
98390,227
99353,226
98236,223
99019,219
98922,216
98532,212
98629,207
99205,207
98444,204
98333,203
98327,198
98672,189
98674,187
98408,187
98249,184
98294,183
98626,179
98403,175
98360,172
98388,164
98520,164
98816,164
99004,163
98233,160
98902,159
98365,156
98424,155
98363,151
98252,151
98528,151
99201,144
99202,140
98580,138
98261,136
99216,135
99037,135
98569,134
98446,131
98328,131
98579,130
98402,130
98901,126
99217,123
98625,120
99005,118
99026,117
99218,116
98465,116
98439,116
98232,106
98349,106
99207,105
98354,104
98418,101
98051,101
98903,99
98257,99
98848,99
98359,98
98862,97
98337,96
98942,94
98589,93
98380,92
98433,91
98247,88
98563,84
98524,79
98611,77
98831,77
98253,76
98077,75
98340,75
98047,72
98541,72
98815,72
99021,72
98392,71
98443,71
99204,66
98823,66
99022,65
99006,65
99350,63
98944,62
99403,62
98550,60
99320,60
98546,59
99114,58
98342,58
98640,58
98843,58
98596,58
98281,57
98576,56
99324,56
98251,55
98648,54
98675,53
99027,53
98376,51
98612,51
98548,50
98358,48
98244,47
98856,47
98592,46
98339,45
98940,45
99025,45
98577,44
99344,44
98631,42
98279,42
98504,40
98262,39
99156,39
98303,38
98591,37
98645,34
98620,34
98325,33
98953,32
99003,32
98564,32
98237,32
98266,31
98601,30
98651,30
98936,29
98068,29
99001,29
98557,29
99141,29
99349,28
98240,28
98635,28
99009,27
98588,27
98828,27
98320,26
98595,26
98394,26
98930,25
98937,25
98315,25
98650,25
99111,25
98571,25
99036,24
99109,23
98421,23
98570,23
98847,23
99161,22
98610,22
99357,22
98822,22
98851,22
98833,22
98925,21
98568,21
98812,20
98941,20
98855,20
98603,19
98844,19
98351,19
98361,18
99122,18
99169,18
98638,17
98841,17
98356,16
99328,16
99323,16
98624,16
99148,16
98286,15
98537,15
98295,14
99031,14
98948,13
98951,13
98304,13
98932,12
98331,12
98938,12
99402,12
99115,12
98241,11
98639,11
98547,11
98585,11
98355,11
98850,11
99011,11
98220,11
99361,10
98840,10
99326,10
98276,10
98617,9
99166,9
99133,9
98288,8
98947,8
98593,8
99360,8
98934,8
98323,8
99029,8
99170,8
98644,8
98846,8
99118,8
98555,8
98345,7
98935,7
98605,7
98857,7
98586,7
98377,7
98542,7
98649,6
99130,6
99159,6
99185,6
98357,6
99023,6
99119,6
98590,6
99330,6
98946,6
99181,6
99033,5
99126,5
98582,5
99343,5
98538,5
98634,5
99116,5
99030,5
99167,5
99123,5
98565,5
98943,5
98858,5
98923,4
98647,4
99008,4
98396,4
98158,4
98124,4
99147,4
98224,4
98562,4
98814,4
98280,4
99173,3
98297,3
99180,3
98235,3
99113,3
98587,3
98381,3
98533,3
98535,3
98206,3
98849,3
98536,3
98336,3
99179,3
98670,3
99347,3
98575,3
99134,3
98330,3
98614,3
99013,3
98526,3
98243,3
99158,3
98813,3
98326,2
99341,2
99139,2
99125,2
98283,2
98314,2
98845,2
98493,2
98438,2
99345,2
98305,2
98834,2
98401,2
98583,2
99039,2
98616,2
99171,2
98832,2
99124,2
98641,2
99110,2
99135,2
99101,2
98621,2
98385,2
98830,2
99157,2
99137,2
98256,2
98613,2
98267,2
98530,1
98164,1
98344,1
98643,1
99018,1
98527,1
99017,1
99356,1
99138,1
98255,1
98952,1
99131,1
99121,1
98572,1
99155,1
98263,1
98853,1
98411,1
99032,1
98821,1
99040,1
99140,1
99034,1
99371,1
99117,1
99346,1
99143,1
98950,1
98416,1
99103,1
98050,1
98619,1
98522,1
